full_sample,sel_index,typen,repay_year,fy,year,borrowers,mn_earnings,md_earnings,p25_earnings,p75_earnings,mn_tot_inc,md_tot_inc,unemployed,in_pov,near_pov,mn_debt_service,mn_grad2_earnings,mn_grad4_earnings,mn_grad0_earnings,md_debt_service,mn_tot_bal,md_tot_bal,mn_undergrad_l,md_undergrad,mn_grad_l,md_grad_l
1,,,1999,1999,0,1233,33000,29250,17000,43250,42000,33000,0.071,0.182,0.287,3140,23250,35250,26750,2075,21045,13880,14560,10955,41190,29815
1,,,1999,2000,1,1233,39750,35250,21250,50500,51750,41250,0.072,0.141,0.221,3140,27500,42500,32250,2075,20670,13225,14250,10565,40535,28290
1,,,1999,2001,2,1233,44750,39000,23500,56500,58250,47000,0.082,0.125,0.192,3140,30250,47750,35750,2075,20760,12820,14275,10530,40680,27330
1,,,1999,2002,3,1233,46250,40250,23750,58750,61250,49750,0.097,0.131,0.194,3140,30250,48250,36250,2075,20530,12220,14075,10145,39895,26010
1,,,1999,2003,4,1233,49000,41750,24750,61750,65250,52750,0.111,0.134,0.197,3140,30750,50500,37750,2075,20425,11505,13945,9700,39230,24525
1,,,1999,2004,5,1233,51750,43250,25750,65000,69750,56250,0.12,0.133,0.191,3140,31750,53000,39250,2075,20275,10755,13775,9065,38485,23275
1,,,1999,2005,6,1233,54500,44500,26250,67750,74000,59000,0.124,0.133,0.189,3140,32250,55500,41250,2075,20160,10180,13630,8450,37840,21930
1,,,1999,2006,7,1233,58250,46500,27500,71750,78750,62500,0.131,0.133,0.186,3140,34000,59250,43500,2075,20485,10120,13780,8280,38000,21755
1,,,1999,2007,8,1233,60000,47750,28000,74000,82250,65250,0.137,0.133,0.185,3140,34500,60750,44250,2075,20765,10240,13945,8450,37870,21870
1,,,1999,2008,9,1233,63750,50250,29250,78250,85750,67750,0.147,0.135,0.183,3140,35500,64000,46250,2075,22195,11120,14870,9110,39670,23455
1,,,1999,2009,10,1233,63000,49750,28250,78250,84000,66500,0.165,0.145,0.196,3140,34250,62000,44500,2075,23990,12200,15985,9890,42210,25590
1,,,1999,2010,11,1233,64500,50250,28250,79500,86000,67500,0.174,0.147,0.197,3140,34000,63250,45250,2075,24920,12630,16580,10025,43015,25700
1,,,1999,2011,12,1233,66250,50750,28750,81250,88000,68250,0.179,0.152,0.202,3140,34250,64750,46000,2075,25680,13105,17110,10150,43605,25585
1,,,1999,2012,13,1233,68250,51750,29250,83250,91000,69750,0.184,0.154,0.202,3140,34750,66250,47250,2075,26110,13140,17450,10065,43895,25525
1,,,1999,2013,14,1233,69750,52500,29250,85250,92750,71000,0.186,0.158,0.204,3140,35250,67500,48250,2075,26705,13215,17830,10150,44730,25945
1,,,1999,2014,15,1233,71750,54000,30250,87500,89250,68000,0.203,0.184,0.226,3140,35750,67750,48750,2075,27570,13365,18400,10300,45830,26240
1,,,2000,2000,0,1282,34500,30500,17500,45000,44500,35000,0.068,0.172,0.271,3100,24250,37250,27750,2015,21425,13965,14760,11205,41315,29425
1,,,2000,2001,1,1282,41250,36500,21250,52500,52750,42250,0.077,0.135,0.214,3100,28750,44250,32750,2015,21230,13430,14630,10945,40815,28215
1,,,2000,2002,2,1282,43000,38000,22500,55500,56250,45500,0.09,0.138,0.208,3100,29250,45750,33500,2015,20865,12780,14360,10450,39760,26420
1,,,2000,2003,3,1282,45750,40000,23500,58750,60500,48750,0.104,0.138,0.204,3100,30250,48000,35000,2015,20690,12155,14195,10090,39075,25220
1,,,2000,2004,4,1282,48750,41750,24500,62250,65250,52500,0.11,0.135,0.197,3100,31000,51000,37250,2015,20360,11355,13890,9535,38325,23890
1,,,2000,2005,5,1282,51750,43250,25750,65250,70000,55750,0.116,0.133,0.191,3100,32250,53750,38750,2015,20265,10670,13745,8990,37740,22680
1,,,2000,2006,6,1282,55500,45250,27000,69000,75000,59500,0.122,0.132,0.187,3100,33500,57500,41250,2015,20305,10265,13725,8590,37425,22025
1,,,2000,2007,7,1282,58000,46500,27500,71750,79000,62000,0.13,0.134,0.188,3100,34250,59750,42500,2015,20200,10110,13660,8425,36600,21325
1,,,2000,2008,8,1282,61500,49000,28750,76250,83000,65750,0.14,0.135,0.186,3100,35250,62750,44500,2015,20935,10400,14135,8670,37305,21610
1,,,2000,2009,9,1282,61000,48750,28000,76250,81750,64500,0.156,0.146,0.198,3100,34250,61500,43250,2015,21630,10710,14570,8870,37690,22125
1,,,2000,2010,10,1282,62750,49250,27750,78000,84250,66000,0.166,0.145,0.199,3100,34500,63250,43500,2015,23280,11770,15540,9470,40255,24350
1,,,2000,2011,11,1282,64250,50000,28250,79750,86250,67000,0.172,0.152,0.203,3100,34500,64250,44250,2015,23960,12175,16020,9535,40540,24455
1,,,2000,2012,12,1282,66750,50750,28750,81750,89250,68750,0.178,0.155,0.205,3100,35250,66500,45250,2015,24395,12275,16360,9540,40630,23875
1,,,2000,2013,13,1282,68000,51750,29000,83500,91000,70000,0.182,0.159,0.206,3100,35500,67250,46250,2015,24935,12400,16720,9535,41105,24130
1,,,2000,2014,14,1282,69750,53250,29750,85750,88000,67250,0.198,0.184,0.227,3100,36250,67750,47000,2015,25610,12400,17170,9585,41755,24290
1,,,2001,2001,0,1254,36000,31500,17750,47000,46000,36500,0.075,0.161,0.261,3400,26000,39000,28250,2160,22795,14395,15335,11850,45295,31095
1,,,2001,2002,1,1254,39500,35500,20750,51250,51250,41000,0.086,0.144,0.226,3400,27250,42250,30750,2160,22250,13665,14940,11265,43880,28700
1,,,2001,2003,2,1254,42750,37750,22250,55000,55500,44750,0.097,0.143,0.214,3400,28750,45500,32750,2160,21790,12955,14565,10655,42850,27180
1,,,2001,2004,3,1254,45500,39500,23500,58250,60500,48500,0.102,0.138,0.204,3400,29750,48500,34750,2160,21495,12270,14270,10105,42160,26335
1,,,2001,2005,4,1254,48750,41250,25000,61500,65750,52000,0.108,0.133,0.195,3400,31250,51500,36750,2160,21270,11495,13990,9690,41485,24955
1,,,2001,2006,5,1254,52750,43750,26250,65750,71250,56500,0.113,0.132,0.188,3400,32750,55750,39250,2160,21440,11185,14060,9500,40855,24015
1,,,2001,2007,6,1254,55500,45250,27000,68750,75750,59750,0.122,0.13,0.187,3400,33500,58500,40500,2160,21290,10825,13895,9175,40005,23295
1,,,2001,2008,7,1254,59000,47500,28250,73500,79750,63000,0.133,0.134,0.185,3400,35000,61500,42750,2160,21765,10790,14175,9165,40275,23280
1,,,2001,2009,8,1254,58750,47250,27500,73500,79000,62500,0.153,0.143,0.2,3400,33500,60250,41250,2160,22035,10760,14295,9110,40090,23395
1,,,2001,2010,9,1254,60750,48250,27500,75500,82000,64250,0.163,0.143,0.198,3400,33500,61750,42000,2160,22570,10885,14595,9155,40455,23625
1,,,2001,2011,10,1254,62500,48750,27750,77000,84000,65250,0.168,0.148,0.202,3400,34000,63000,42750,2160,23925,11845,15385,9475,42070,25005
1,,,2001,2012,11,1254,65000,50000,28500,79500,87750,67000,0.174,0.15,0.2,3400,34750,65250,44000,2160,24415,12045,15675,9445,42500,25350
1,,,2001,2013,12,1254,66500,51000,29000,81500,90000,68750,0.178,0.153,0.203,3400,35250,66500,45250,2160,24965,12130,16005,9455,42795,25195
1,,,2001,2014,13,1254,69000,52750,30000,84500,87000,67000,0.196,0.179,0.225,3400,35750,67750,45750,2160,25480,12170,16310,9465,43230,25235
1,,,2002,2002,0,1267,33500,28750,16000,45000,44000,33750,0.083,0.183,0.29,3090,23500,36500,25750,1950,22930,14395,15255,11645,44925,30660
1,,,2002,2003,1,1267,38500,33750,19500,50000,49750,39250,0.089,0.159,0.243,3090,26250,41750,29250,1950,22355,13745,14810,11130,43490,29085
1,,,2002,2004,2,1267,41750,36250,21500,53750,54500,43250,0.096,0.148,0.225,3090,27750,44750,31750,1950,22045,13180,14495,10745,42830,28340
1,,,2002,2005,3,1267,45000,38500,23000,57250,59750,47000,0.099,0.141,0.212,3090,29500,48250,33750,1950,21840,12500,14170,10350,42370,27355
1,,,2002,2006,4,1267,49000,41000,24750,61500,65250,51250,0.106,0.137,0.199,3090,31500,52500,36250,1950,21790,12070,14085,10045,41595,26245
1,,,2002,2007,5,1267,51750,42750,25500,64750,70250,54750,0.114,0.135,0.195,3090,32250,55500,37750,1950,21595,11635,13915,9710,40370,25325
1,,,2002,2008,6,1267,55500,45250,27000,68750,74750,58500,0.126,0.134,0.191,3090,33750,58750,39750,1950,21895,11475,14050,9620,40245,24905
1,,,2002,2009,7,1267,56000,45250,26250,69750,74750,58500,0.147,0.145,0.205,3090,32500,58500,38750,1950,21700,11045,13865,9290,39390,24440
1,,,2002,2010,8,1267,58000,46000,26500,71750,77750,60250,0.155,0.144,0.203,3090,32750,60000,39500,1950,21790,10845,13875,9155,38915,24030
1,,,2002,2011,9,1267,59750,46750,27000,73500,79750,61500,0.163,0.151,0.208,3090,33000,61250,40250,1950,22260,11050,14135,9060,38565,23760
1,,,2002,2012,10,1267,62000,48000,27500,76000,83500,63750,0.167,0.153,0.208,3090,34000,63500,41750,1950,23175,11850,14670,9220,39385,24385
1,,,2002,2013,11,1267,63750,49000,28000,78250,85750,65500,0.171,0.153,0.208,3090,34250,64750,43000,1950,23575,12040,14885,9220,39400,24305
1,,,2002,2014,12,1267,66000,50500,29000,81000,83750,64250,0.187,0.179,0.228,3090,34750,66000,43500,1950,23995,12100,15120,9280,39325,23965
1,,,2003,2003,0,1358,32500,27250,15250,43250,42250,31750,0.093,0.198,0.313,2810,22750,35250,25000,1755,22780,14270,15210,11705,44195,30390
1,,,2003,2004,1,1358,37750,33000,19000,49000,48750,37750,0.093,0.165,0.256,2810,26250,41500,28750,1755,22180,13735,14715,11205,42925,29325
1,,,2003,2005,2,1358,41000,35750,21000,52500,53750,41750,0.095,0.152,0.232,2810,27750,45250,31500,1755,21895,13160,14360,10795,42270,28410
1,,,2003,2006,3,1358,45250,38500,23000,57250,59000,46000,0.101,0.147,0.218,2810,29750,49750,34250,1755,21775,12810,14205,10550,41515,27625
1,,,2003,2007,4,1358,48250,40250,24000,60750,64000,50000,0.107,0.144,0.211,2810,30750,53250,35500,1755,21480,12300,13945,10245,40165,26460
1,,,2003,2008,5,1358,52250,43000,25250,65250,68750,53750,0.12,0.142,0.203,2810,32500,57500,37500,1755,21825,12095,14100,10080,39900,26090
1,,,2003,2009,6,1358,52750,43000,25000,66250,69250,53750,0.144,0.154,0.216,2810,31500,57000,36500,1755,21510,11530,13825,9705,38760,24970
1,,,2003,2010,7,1358,54500,43750,25000,68000,72250,55750,0.155,0.153,0.216,2810,31500,58750,37000,1755,21350,11050,13660,9385,37870,23965
1,,,2003,2011,8,1358,56500,44500,25500,70000,75000,57500,0.159,0.156,0.219,2810,32000,60500,38250,1755,21130,10690,13465,8915,36990,23095
1,,,2003,2012,9,1358,58750,45750,26250,72500,78250,59750,0.164,0.16,0.22,2810,32750,62750,39500,1755,21385,10940,13590,8780,36660,22685
1,,,2003,2013,10,1358,60500,47000,26500,74750,81250,61750,0.167,0.162,0.22,2810,33250,64250,40750,1755,22240,11670,14050,9030,37225,22855
1,,,2003,2014,11,1358,63000,48750,27500,77500,80250,60500,0.184,0.183,0.234,2810,34000,65500,41750,1755,22545,11715,14190,9055,37165,22570
1,,,2004,2004,0,1527,32000,27000,15000,42750,41750,31500,0.092,0.205,0.32,2695,22250,35250,24250,1650,22500,13830,14930,11350,42840,29540
1,,,2004,2005,1,1527,37500,32750,18750,49000,48250,37500,0.088,0.169,0.26,2695,25500,41750,28000,1650,22030,13370,14495,10920,41855,28555
1,,,2004,2006,2,1527,41750,36250,21250,53750,54250,42500,0.092,0.156,0.234,2695,28000,46750,31000,1650,21895,13120,14340,10685,41060,27675
1,,,2004,2007,3,1527,45000,38250,22500,57250,59250,46000,0.099,0.15,0.224,2695,29250,50250,33000,1650,21495,12665,14020,10400,39715,26385
1,,,2004,2008,4,1527,49000,41000,24000,62000,64250,50000,0.11,0.147,0.214,2695,30750,54500,35000,1650,21730,12535,14120,10340,39320,25740
1,,,2004,2009,5,1527,49250,41250,23500,63000,64500,50250,0.133,0.159,0.228,2695,30000,54000,33750,1650,21490,12035,13905,9960,38165,24705
1,,,2004,2010,6,1527,51500,42000,23750,65250,68000,52500,0.146,0.157,0.224,2695,30000,56000,34250,1650,21295,11525,13720,9590,37205,23915
1,,,2004,2011,7,1527,53500,42750,24500,67250,70750,54000,0.154,0.16,0.227,2695,30500,58000,35250,1650,20910,10900,13430,9150,35975,22910
1,,,2004,2012,8,1527,56000,43750,25250,69750,74250,56500,0.158,0.162,0.226,2695,31250,60500,36500,1650,20780,10575,13300,8765,35265,22170
1,,,2004,2013,9,1527,57750,45250,25750,72000,77000,58500,0.164,0.164,0.225,2695,31750,62250,37500,1650,21150,10835,13460,8640,35085,21895
1,,,2004,2014,10,1527,60500,46750,26500,75000,76750,58250,0.18,0.182,0.238,2695,32500,64000,38250,1650,21840,11295,13820,8740,35475,21995
1,,,2005,2005,0,1823,31500,26000,14500,42000,41750,30500,0.088,0.211,0.331,2755,22750,34250,23500,1730,23085,14565,15095,11765,43550,30955
1,,,2005,2006,1,1823,38500,33250,19000,49750,49500,38250,0.084,0.167,0.258,2755,26750,43250,27750,1730,22850,14240,14910,11505,42630,29860
1,,,2005,2007,2,1823,42000,36250,21000,54000,54500,42250,0.093,0.156,0.236,2755,28250,47250,29750,1730,22390,13735,14560,11175,41260,28500
1,,,2005,2008,3,1823,46000,39500,23000,59000,59500,46500,0.103,0.15,0.222,2755,30000,51500,32000,1730,22570,13510,14615,11085,41010,27920
1,,,2005,2009,4,1823,46750,39750,22750,60500,60750,47250,0.128,0.162,0.234,2755,29000,51500,31250,1730,22200,12880,14320,10620,39760,26660
1,,,2005,2010,5,1823,49000,40750,23250,62750,64000,49250,0.14,0.159,0.23,2755,29000,53750,32000,1730,22080,12325,14175,10205,38905,25695
1,,,2005,2011,6,1823,51500,41750,23750,65000,67250,51250,0.148,0.161,0.231,2755,30000,56000,32750,1730,21695,11645,13875,9645,37560,24495
1,,,2005,2012,7,1823,54250,43000,24500,67500,71250,54000,0.152,0.162,0.226,2755,30750,58750,34500,1730,21460,11205,13700,9225,36545,23545
1,,,2005,2013,8,1823,56250,44250,25250,70250,74500,56250,0.158,0.163,0.226,2755,31500,60750,35500,1730,21440,11035,13640,8885,35880,22685
1,,,2005,2014,9,1823,59000,46000,26000,73500,74750,56250,0.171,0.181,0.238,2755,32000,63000,36500,1730,21790,11265,13795,8800,35795,22445
1,,,2006,2006,0,1921,31750,26250,14500,42250,42000,30750,0.087,0.212,0.333,2960,23250,35000,23250,1895,23385,14740,15370,11935,43475,32145
1,,,2006,2007,1,1921,38000,32750,18750,49500,49000,37750,0.087,0.172,0.265,2960,26750,43250,26500,1895,22910,14305,15055,11645,42040,30825
1,,,2006,2008,2,1921,42500,36500,21000,54750,54250,42250,0.097,0.159,0.241,2960,28750,48000,28750,1895,23165,14200,15180,11625,42035,30435
1,,,2006,2009,3,1921,43250,37000,21000,56500,55250,43250,0.123,0.17,0.251,2960,27750,48250,28000,1895,22845,13665,14905,11255,41010,29235
1,,,2006,2010,4,1921,45500,38250,21750,59000,58750,45250,0.136,0.165,0.245,2960,28250,50250,28750,1895,22750,13220,14780,10885,40265,28200
1,,,2006,2011,5,1921,47750,39250,22500,61250,61750,47000,0.144,0.169,0.244,2960,28500,52500,29500,1895,22515,12645,14570,10465,39195,26965
1,,,2006,2012,6,1921,50250,40750,23250,63750,65750,50000,0.148,0.169,0.241,2960,29500,55500,31000,1895,22405,12120,14460,10065,38490,26100
1,,,2006,2013,7,1921,52750,42000,24000,66500,69000,52000,0.153,0.17,0.239,2960,30250,57750,32250,1895,22420,11860,14430,9685,37880,25000
1,,,2006,2014,8,1921,55500,43750,25000,69500,70250,52750,0.167,0.184,0.246,2960,31000,60000,33250,1895,22680,11850,14555,9440,37690,24690
1,,,2007,2007,0,1743,31500,26250,14500,42250,41000,30000,0.09,0.22,0.343,2965,23250,35750,22250,1845,21820,13200,15090,11110,42140,31090
1,,,2007,2008,1,1743,37500,32000,18000,49500,47500,36250,0.098,0.185,0.285,2965,26750,43000,25250,1845,22010,13240,15230,11135,42110,30945
1,,,2007,2009,2,1743,38750,33250,18500,51500,48750,37250,0.127,0.194,0.291,2965,26250,43500,25000,1845,21725,12915,14990,10845,41280,30000
1,,,2007,2010,3,1743,40500,34500,19250,53250,51750,39250,0.137,0.187,0.281,2965,26750,45250,25750,1845,21750,12595,14970,10650,40695,29225
1,,,2007,2011,4,1743,42500,35750,20000,55500,54750,41000,0.143,0.188,0.276,2965,27500,47500,26750,1845,21625,12140,14855,10315,39700,28065
1,,,2007,2012,5,1743,45000,37250,21000,58250,58250,43500,0.147,0.186,0.268,2965,28500,50250,28000,1845,21725,11780,14915,10090,39155,27260
1,,,2007,2013,6,1743,47250,38500,21750,60500,61500,45750,0.151,0.187,0.265,2965,29250,52250,29250,1845,21890,11515,15015,9880,38710,26515
1,,,2007,2014,7,1743,49750,40250,22750,63500,62750,46750,0.165,0.198,0.268,2965,30250,54500,30250,1845,22255,11460,15235,9745,38795,26280
1,,,2008,2008,0,1851,33500,27500,15000,45000,42750,31500,0.097,0.216,0.335,3140,23500,38500,22250,1905,22790,13520,15140,11310,46125,33905
1,,,2008,2009,1,1851,36000,30500,16500,48500,45250,33750,0.12,0.21,0.318,3140,24500,41250,22750,1905,22420,13025,14905,10925,45085,32740
1,,,2008,2010,2,1851,38250,32000,17500,50750,48500,36000,0.13,0.197,0.299,3140,25250,43250,23750,1905,22270,12550,14805,10585,44470,31455
1,,,2008,2011,3,1851,40500,33500,18750,53000,51250,38000,0.136,0.196,0.29,3140,26000,45750,25000,1905,22000,11870,14615,10160,43465,30150
1,,,2008,2012,4,1851,43000,35250,20000,55500,55000,40500,0.141,0.192,0.28,3140,27250,48250,26250,1905,22025,11375,14635,9850,42960,29130
1,,,2008,2013,5,1851,45250,37000,20750,58000,58500,42750,0.145,0.192,0.275,3140,28250,50750,27500,1905,22125,11055,14735,9665,42345,28490
1,,,2008,2014,6,1851,48000,38750,22000,61250,60250,44250,0.157,0.199,0.275,3140,29250,53250,28750,1905,22395,10920,14955,9615,42090,28355
1,,,2009,2009,0,2225,31250,24750,12750,43000,40250,28500,0.133,0.26,0.387,3205,20750,35250,19000,1860,23770,13600,15210,11220,49715,35270
1,,,2009,2010,1,2225,35000,28750,15250,47000,44000,32250,0.13,0.223,0.338,3205,23250,39500,21000,1860,23590,13145,15125,11045,49220,34605
1,,,2009,2011,2,2225,37250,30750,16750,49500,47000,34500,0.133,0.213,0.318,3205,24750,42000,22250,1860,23205,12495,14920,10755,48175,32925
1,,,2009,2012,3,2225,40000,33000,18250,52250,50750,37000,0.137,0.207,0.304,3205,26000,45000,24000,1860,23060,11840,14850,10325,47805,31925
1,,,2009,2013,4,2225,42750,34750,19500,55000,54500,39500,0.143,0.201,0.291,3205,27250,47750,25500,1860,23045,11295,14845,10010,47575,31330
1,,,2009,2014,5,2225,45250,36750,20750,58000,56750,41250,0.152,0.206,0.288,3205,28250,50250,26750,1860,23245,10935,14990,9695,47545,30595
1,,,2010,2010,0,2385,29750,23000,12000,40250,38000,26250,0.143,0.277,0.414,3515,19750,33750,17250,2035,25870,14845,16665,12495,55455,38195
1,,,2010,2011,1,2385,33500,27250,14750,45250,41750,30000,0.139,0.246,0.367,3515,22250,38500,19500,2035,25505,14250,16495,12045,54465,36720
1,,,2010,2012,2,2385,36500,30000,16250,48500,45500,32750,0.141,0.232,0.341,3515,24000,41750,21000,2035,25490,13655,16510,11855,54490,35820
1,,,2010,2013,3,2385,39250,32250,17500,51250,48750,35500,0.144,0.224,0.323,3515,25250,44750,22500,2035,25520,13045,16515,11785,54585,34955
1,,,2010,2014,4,2385,42000,34250,18750,54500,51500,37250,0.153,0.226,0.315,3515,26500,47500,23750,2035,25735,12765,16660,11465,54880,34270
1,,,2011,2011,0,2951,28750,22250,11750,38750,36250,25000,0.144,0.293,0.434,3635,19000,32500,17000,2085,26485,15280,17675,13055,56800,38260
1,,,2011,2012,1,2951,33000,26750,14500,43750,40500,29000,0.138,0.255,0.38,3635,22000,37500,19500,2085,26645,14980,17805,12840,57305,37785
1,,,2011,2013,2,2951,35750,29250,16000,47250,43750,31500,0.14,0.242,0.355,3635,23750,40500,21000,2085,26810,14615,17910,12575,57930,37005
1,,,2011,2014,3,2951,38500,31500,17250,50250,46500,33500,0.149,0.239,0.341,3635,25000,43250,22500,2085,27100,14160,18120,12385,58540,36540
1,,,2012,2012,0,3319,28500,22250,12000,38500,36000,24500,0.138,0.295,0.438,3860,19250,31750,17250,2290,28185,16915,19040,14275,59775,40060
1,,,2012,2013,1,3319,32750,26750,14500,43750,40250,28750,0.133,0.256,0.382,3860,22250,36750,19750,2290,28385,16635,19235,14175,60245,39440
1,,,2012,2014,2,3319,35750,29500,16250,47500,43000,31250,0.139,0.245,0.356,3860,23750,39750,21500,2290,28740,16300,19495,13990,61280,39145
1,,,2013,2013,0,3496,28500,22250,12000,38250,36000,24500,0.13,0.292,0.437,4080,20500,32500,17250,2440,29925,18350,20505,15505,62380,41340
1,,,2013,2014,1,3496,32750,27000,14750,44000,39500,28750,0.13,0.258,0.38,4080,23250,37500,19750,2440,30390,18125,20895,15470,63445,41250
1,,,2014,2014,0,3716,29000,22750,12500,38750,35250,24500,0.125,0.291,0.434,4265,22500,33750,17000,2575,31480,19665,21760,16735,65035,42790
,1,,1999,1999,0,222,25250,22000,12250,34000,32000,24250,0.101,0.293,0.434,1615,20500,28250,18500,1110,10805,7425,10160,7345,38955,25175
,1,,1999,2000,1,222,30000,26500,15750,40000,38250,30000,0.103,0.233,0.352,1615,24750,33500,21750,1110,10640,7140,9985,7050,38735,24715
,1,,1999,2001,2,222,33500,29000,16750,44500,41750,33500,0.118,0.211,0.321,1615,27000,37000,24000,1110,10810,6975,10130,6905,39370,24010
,1,,1999,2002,3,222,33500,29500,16750,45250,42750,34250,0.138,0.22,0.326,1615,26750,35500,23500,1110,10900,6765,10180,6705,38845,21520
,1,,1999,2003,4,222,34750,30250,17000,46500,44000,35250,0.158,0.23,0.336,1615,27250,36250,24000,1110,11035,6580,10250,6495,40455,20560
,1,,1999,2004,5,222,36000,31500,17500,48750,46250,37000,0.167,0.231,0.328,1615,27750,37500,24750,1110,11115,6400,10290,6320,40245,20740
,1,,1999,2005,6,222,37250,32250,18000,50500,47750,38500,0.167,0.225,0.32,1615,28500,38500,25750,1110,11225,6245,10380,6165,39505,18470
,1,,1999,2006,7,222,39250,34000,19000,52500,50000,39750,0.172,0.22,0.311,1615,30000,40500,27250,1110,11465,6240,10580,6170,40480,20050
,1,,1999,2007,8,222,40250,34750,19500,54250,51500,41000,0.179,0.219,0.303,1615,30500,41000,28000,1110,11675,6380,10740,6295,39820,19030
,1,,1999,2008,9,222,41750,35750,20250,55750,52500,42000,0.191,0.223,0.303,1615,31000,42000,28500,1110,12490,6890,11440,6765,43665,20700
,1,,1999,2009,10,222,41000,35000,18750,56000,50750,40000,0.219,0.24,0.33,1615,29500,39750,26500,1110,13450,7495,12275,7380,46345,21795
,1,,1999,2010,11,222,41250,35000,18750,56000,50500,39500,0.232,0.246,0.332,1615,29500,39500,26000,1110,14140,7785,12870,7690,46980,21120
,1,,1999,2011,12,222,42250,35500,19250,56750,51750,39750,0.239,0.255,0.337,1615,29750,40250,26500,1110,14690,7960,13345,7855,48010,20295
,1,,1999,2012,13,222,43500,36250,19250,58500,52500,40000,0.245,0.259,0.342,1615,30000,41250,27250,1110,15020,8005,13640,7805,49285,22075
,1,,1999,2013,14,222,44500,36750,20000,59250,53250,40250,0.247,0.259,0.337,1615,30500,42250,28500,1110,15355,8120,13920,7905,49945,24210
,1,,1999,2014,15,222,45750,38000,21250,61000,52500,39750,0.262,0.28,0.351,1615,30750,42250,29000,1110,15915,8300,14390,8145,51990,25245
,1,,2000,2000,0,237,26500,22750,13000,35250,34250,25750,0.099,0.269,0.41,1540,21250,29750,19500,1075,10705,7530,10190,7475,32925,22410
,1,,2000,2001,1,237,31250,26500,15000,41250,39250,30250,0.11,0.226,0.347,1540,25500,34250,22250,1075,10705,7250,10185,7190,33105,21500
,1,,2000,2002,2,237,31250,27250,15500,41750,40500,31500,0.132,0.232,0.348,1540,25250,33250,21750,1075,10665,6920,10130,6880,32565,20130
,1,,2000,2003,3,237,33000,29000,16250,44000,42250,33250,0.153,0.234,0.342,1540,26000,34250,22250,1075,10600,6595,10055,6555,32295,20190
,1,,2000,2004,4,237,34750,30000,17000,46000,44750,35250,0.155,0.225,0.327,1540,26750,36250,23500,1075,10485,6300,9925,6265,31755,19060
,1,,2000,2005,5,237,36500,31500,18250,48250,46500,37000,0.163,0.221,0.317,1540,28000,37750,24500,1075,10505,6100,9910,6075,32400,19260
,1,,2000,2006,6,237,38250,32500,18750,50250,48500,38000,0.164,0.22,0.314,1540,29250,40000,25500,1075,10640,6065,10020,6040,32920,20525
,1,,2000,2007,7,237,39000,33500,19000,51500,50000,38750,0.17,0.226,0.314,1540,29750,40000,26000,1075,10800,6070,10130,6020,34290,22720
,1,,2000,2008,8,237,40750,34500,20000,54000,52000,40250,0.181,0.22,0.308,1540,30500,41250,27250,1075,11175,6240,10460,6200,35540,23610
,1,,2000,2009,9,237,40250,34250,18750,53500,50250,38500,0.208,0.239,0.33,1540,29000,39250,26000,1075,11610,6435,10845,6395,35925,25585
,1,,2000,2010,10,237,40500,34250,18250,54250,50750,39000,0.22,0.238,0.335,1540,29250,39000,26000,1075,12415,6835,11570,6780,37350,26200
,1,,2000,2011,11,237,41750,34750,18750,55250,51250,38750,0.227,0.249,0.337,1540,29500,39500,26500,1075,12980,7080,12060,6995,39180,26065
,1,,2000,2012,12,237,42750,35500,19250,56250,52750,39750,0.234,0.251,0.34,1540,30000,40500,27000,1075,13230,7155,12295,7045,39465,25920
,1,,2000,2013,13,237,43500,36250,19750,57500,53250,40000,0.241,0.257,0.341,1540,30000,40750,27500,1075,13590,7120,12620,7025,40100,24115
,1,,2000,2014,14,237,45000,37250,20500,59500,52500,39500,0.255,0.275,0.347,1540,30750,41500,27750,1075,13935,7140,12900,7025,43505,24375
,1,,2001,2001,0,241,27750,23250,13000,37000,35250,26750,0.109,0.259,0.405,1690,22750,30250,20000,1165,11270,7770,10720,7720,33035,24945
,1,,2001,2002,1,241,29250,25750,14250,39500,37500,29250,0.128,0.242,0.367,1690,24000,30750,21000,1165,11075,7385,10525,7335,31680,23355
,1,,2001,2003,2,241,31000,27750,14750,41500,39750,31250,0.144,0.244,0.359,1690,25000,32250,21500,1165,10845,6965,10300,6925,31040,21620
,1,,2001,2004,3,241,32750,28750,15750,43750,42000,33000,0.15,0.233,0.342,1690,26250,33500,22750,1165,10670,6625,10110,6555,31090,21980
,1,,2001,2005,4,241,34500,30250,17750,46000,44500,34750,0.158,0.224,0.331,1690,27250,35250,24000,1165,10580,6365,9985,6325,31630,20940
,1,,2001,2006,5,241,36500,31750,18250,48250,46750,36500,0.154,0.223,0.32,1690,28750,37500,25750,1165,10815,6360,10185,6325,31565,20010
,1,,2001,2007,6,241,37750,32250,18250,50250,48250,37500,0.161,0.218,0.316,1690,29250,38500,26750,1165,10905,6390,10250,6335,31540,20045
,1,,2001,2008,7,241,39500,33750,19000,52500,49750,39250,0.177,0.221,0.313,1690,30750,39500,27250,1165,11260,6445,10550,6380,32585,19910
,1,,2001,2009,8,241,38750,33000,17750,51750,48500,38250,0.207,0.24,0.336,1690,28750,37750,25500,1165,11535,6525,10770,6465,33970,21895
,1,,2001,2010,9,241,39750,33750,17750,53000,49250,38250,0.225,0.243,0.339,1690,28750,39000,25250,1165,11895,6730,11045,6655,35245,22930
